index,workerId,trueClassLabel,predictClassLabel,predictedProb
0,185-249-每天一句话测试_1463737873----16541417,yes,yes,0.97
1,185-249-每天一句话测试_1463737873----16500020,yes,yes,0.94
2,185-249-每天一句话测试_1463737873----779468,yes,yes,0.97
3,185-249-每天一句话测试_1463737873----11631802,yes,yes,0.92
4,185-249-每天一句话测试_1463737873----15065700,yes,yes,0.98
5,185-249-每天一句话测试_1463737873----531756,yes,yes,0.99
6,185-249-每天一句话测试_1463737873----16662469,yes,yes,0.99
7,185-249-每天一句话测试_1463737873----16658022,yes,yes,0.95
8,185-249-每天一句话测试_1463737873----2590458,yes,yes,0.96
9,185-249-每天一句话测试_1463737873----15453297,yes,yes,0.96
10,185-249-每天一句话测试_1463737873----11586465,yes,yes,0.97
11,185-249-每天一句话测试_1463737873----16634886,yes,yes,0.95
12,185-249-每天一句话测试_1463737873----351303,yes,yes,0.93
13,185-249-每天一句话测试_1463737873----1866231,yes,yes,0.94
14,185-249-每天一句话测试_1463737873----11100923,yes,yes,0.89
15,185-249-每天一句话测试_1463737873----15453584,yes,yes,0.86
16,185-249-每天一句话测试_1463737873----14233270,yes,yes,0.96
17,185-249-每天一句话测试_1463737873----14370693,yes,yes,0.98
18,185-249-每天一句话测试_1463737873----1318596,yes,yes,0.86
19,185-249-每天一句话测试_1463737873----14940938,yes,yes,0.79
20,185-249-每天一句话测试_1463737873----16642538,yes,yes,1.0
21,185-249-每天一句话测试_1463737873----14386477,yes,yes,0.96
22,185-249-每天一句话测试_1463737873----6325887,yes,yes,0.98
23,185-249-每天一句话测试_1463737873----14519399,yes,yes,0.96
24,185-249-每天一句话测试_1463737873----16618925,yes,yes,0.89
25,185-249-每天一句话测试_1463737873----16736145,yes,yes,0.94
26,185-249-每天一句话测试_1463737873----16620625,yes,yes,0.97
27,185-249-每天一句话测试_1463737873----309781,yes,yes,0.97
28,185-249-每天一句话测试_1463737873----14301156,yes,yes,0.9146428571428571
29,185-249-每天一句话测试_1463737873----15206657,yes,yes,0.82
30,185-249-每天一句话测试_1463737873----7287803,yes,yes,0.95
31,185-249-每天一句话测试_1463737873----16639772,yes,yes,0.8771428571428571
32,185-249-每天一句话测试_1463737873----14109244,yes,yes,0.84
33,185-249-每天一句话测试_1463737873----2279759,yes,yes,0.8771428571428571
34,185-249-每天一句话测试_1463737873----6149761,yes,yes,0.99
35,185-249-每天一句话测试_1463737873----16634548,yes,yes,0.96
36,185-249-每天一句话测试_1463737873----2969975,yes,yes,0.8
37,185-249-每天一句话测试_1463737873----17213816,yes,yes,0.96
