a-durationLastBug,a-durationLastReport,a-bugsLast8hours,a-bugsLast24hours,a-bugsLast1week,a-bugsLast2week,a-bugsLastPast,a-reportsLast8hours,a-reportsLast24hours,a-reportsLast1week,a-reportsLast2week,a-reportsLastPast,e-probSim,e-cosSim,e-eucSim,e-jacSim0.0,e-jacSim0.1,e-jacSim0.3,e-jacSim0.5,p-probSim,p-cosSim,p-eucSim,p-jacSim0.0,p-jacSim0.1,p-jacSim0.3,p-jacSim0.5,le-probSim,le-cosSim,le-eucSim,le-jacSim0.0,le-jacSim0.1,le-jacSim0.3,le-jacSim0.5,lp-probSim,lp-cosSim,lp-eucSim,lp-jacSim0.0,lp-jacSim0.1,lp-jacSim0.3,lp-jacSim0.5,t-beginHours,t-beforeTasks,t-afterTasks,t-reportNum,t-moreReports,t-lessReports,activeTasks,category
3.0,3.0,1.0,1.0,3.0,8.0,84.0,1.0,1.0,4.0,9.0,140.0,291.128304462946,0.1944792489905045,168.97950238732184,0.5324675324675324,0.5324675324675324,0.45454545454545453,0.35064935064935066,140.31808227279052,0.5896723959382334,23.0529481882721,1.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,22.0,3.0,1.0,4.0,yes
3.0,3.0,5.0,5.0,48.0,80.0,446.0,5.0,7.0,54.0,92.0,541.0,122.58164001160817,0.5773907982167518,19.96681367225392,0.7792207792207793,0.7792207792207793,0.7792207792207793,0.7662337662337663,88.49064931657809,0.8252355600085794,6.933668362065461,1.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,22.0,3.0,1.0,4.0,yes
3.0,3.0,2.0,2.0,14.0,23.0,25.0,3.0,3.0,19.0,29.0,31.0,73.90706838112287,0.2868661081130297,27.2374243334267,0.38961038961038963,0.38961038961038963,0.36363636363636365,0.35064935064935066,232.7069538120172,0.36347688296194164,70.21579244026066,1.0,1.0,1.0,0.8961038961038961,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,22.0,3.0,1.0,4.0,yes
3.0,1.0,24.0,24.0,149.0,212.0,600.0,26.0,31.0,195.0,297.0,879.0,97.46775462491789,0.51335954708929,18.02172306635861,0.7792207792207793,0.7792207792207793,0.7012987012987013,0.5714285714285714,92.15455223896912,0.7691717338676798,8.77023216085404,1.0,1.0,1.0,0.987012987012987,3.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,22.0,3.0,1.0,4.0,yes
3.0,1.0,7.0,7.0,7.0,7.0,106.0,11.0,15.0,15.0,15.0,167.0,70.74958616948278,0.5017757130616055,12.4988650587013,0.6103896103896104,0.5844155844155844,0.5324675324675324,0.4675324675324675,249.24930973561783,0.3655320866336457,74.92583461660936,1.0,1.0,1.0,0.948051948051948,3.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,22.0,3.0,1.0,4.0,yes
3.0,3.0,17.0,17.0,106.0,169.0,1134.0,17.0,20.0,133.0,218.0,1451.0,86.88577514963346,0.6889176930929156,9.375091272730582,0.7922077922077922,0.7792207792207793,0.7142857142857143,0.6623376623376623,101.55905602248428,0.7437836192439251,10.701976170906933,1.0,1.0,1.0,0.987012987012987,4.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,22.0,3.0,1.0,4.0,yes
3.0,1.0,14.0,14.0,82.0,103.0,433.0,17.0,20.0,110.0,142.0,623.0,77.56486779339194,0.5484926166583352,12.47558554162425,0.7532467532467533,0.7272727272727273,0.7012987012987013,0.5974025974025974,109.38037291764029,0.7083879608419739,12.91519767727444,1.0,1.0,1.0,0.987012987012987,3.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,22.0,3.0,1.0,4.0,yes
3.0,2.0,11.0,11.0,77.0,144.0,723.0,12.0,15.0,87.0,169.0,869.0,106.65901114916313,0.46250034946601754,22.945953581376056,0.7532467532467533,0.7142857142857143,0.6363636363636364,0.5714285714285714,93.74999875402342,0.78420526871557,8.543313476447851,1.0,1.0,1.0,0.974025974025974,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,22.0,3.0,1.0,4.0,yes
3.0,1.0,41.0,41.0,136.0,159.0,187.0,44.0,49.0,166.0,198.0,243.0,106.22961306867384,0.3450285735119616,32.47985139422214,0.5844155844155844,0.5584415584415584,0.4805194805194805,0.4155844155844156,234.3311914778687,0.3828305108607715,66.85203638491458,1.0,1.0,0.987012987012987,0.8961038961038961,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,22.0,3.0,1.0,4.0,yes
3.0,1.0,31.0,31.0,116.0,197.0,746.0,41.0,52.0,163.0,294.0,1052.0,93.84832915892419,0.7473814605773154,8.708358364194947,0.8051948051948052,0.8051948051948052,0.7922077922077922,0.7142857142857143,119.12159826058536,0.6023368713497581,18.56514633012654,1.0,1.0,1.0,0.987012987012987,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,22.0,3.0,1.0,4.0,yes
3.0,1.0,10.0,10.0,54.0,85.0,810.0,11.0,16.0,72.0,122.0,1051.0,45.18363527451278,0.6790726862271724,3.015993470564138,0.6883116883116883,0.6753246753246753,0.5324675324675324,0.45454545454545453,99.58893073678348,0.7803394274170301,9.39348284879825,1.0,1.0,1.0,1.0,3.0,0.0,4.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,22.0,3.0,1.0,4.0,yes
3.0,1.0,31.0,31.0,167.0,274.0,1408.0,41.0,46.0,211.0,365.0,1765.0,59.78299240763739,0.5793429846684132,8.213514913066918,0.7662337662337663,0.7402597402597403,0.6623376623376623,0.5324675324675324,91.24895162089976,0.8424244934945901,6.744885545095227,1.0,1.0,1.0,0.987012987012987,3.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,22.0,3.0,1.0,4.0,yes
13669.0,13669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2978.143460193747,0.2835398933569652,1194.518913214946,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,22.0,3.0,1.0,4.0,yes
3.0,1.0,36.0,36.0,207.0,288.0,792.0,41.0,48.0,270.0,415.0,1130.0,104.12163959440873,0.651601970061415,13.234945851009835,0.7662337662337663,0.7402597402597403,0.6753246753246753,0.6363636363636364,101.61818513074648,0.6594631765669298,13.371394276255625,1.0,1.0,1.0,0.974025974025974,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,22.0,3.0,1.0,4.0,yes
3.0,3.0,12.0,12.0,30.0,47.0,407.0,12.0,18.0,43.0,69.0,546.0,60.27178113568531,0.6514469720850664,6.063572742660373,0.7272727272727273,0.7142857142857143,0.6103896103896104,0.5454545454545454,101.07559186262199,0.7116009811508293,11.620972444797474,1.0,1.0,1.0,0.987012987012987,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,22.0,3.0,1.0,4.0,yes
3.0,1.0,9.0,9.0,32.0,33.0,205.0,14.0,20.0,75.0,80.0,320.0,128.14607549698678,0.39573621179205887,33.93048992100034,0.6623376623376623,0.6623376623376623,0.6103896103896104,0.5584415584415584,118.2093891753198,0.5437393554275572,21.227487944502098,1.0,1.0,0.987012987012987,0.948051948051948,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,1.0,22.0,3.0,1.0,4.0,yes
3.0,1.0,1.0,1.0,22.0,30.0,48.0,2.0,2.0,26.0,57.0,76.0,73.30534201239564,0.505403152866991,12.580536624070144,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.4025974025974026,308.2051596967338,0.3502510277559859,97.54037571802299,1.0,1.0,1.0,0.974025974025974,4.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,22.0,3.0,1.0,4.0,yes
13669.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5920.9765005905765,0.2818633198620528,2391.460260810561,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,22.0,3.0,1.0,4.0,yes
4144.0,4099.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,81.97209849778218,0.23639034428612934,37.46597609011782,0.07792207792207792,0.07792207792207792,0.07792207792207792,0.07792207792207792,117.9789403963805,0.4636216951736638,25.643505179329278,0.6883116883116883,0.6883116883116883,0.6883116883116883,0.6883116883116883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,22.0,3.0,1.0,4.0,no
5541.0,5537.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,47.11875487949819,0.27636193751621047,17.118384062098425,0.12987012987012986,0.12987012987012986,0.12987012987012986,0.12987012987012986,55.784385063474346,0.6746078085062127,4.806569171272374,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5844155844155844,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,0.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,22.0,3.0,1.0,4.0,no
13669.0,12888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.7466034511689,0.5553758010497806,14.62615663983844,0.5584415584415584,0.5584415584415584,0.5584415584415584,0.5584415584415584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,22.0,3.0,1.0,4.0,no
9317.0,9317.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.409384690884986,0.1582038113647012,6.83573419868706,0.025974025974025976,0.025974025974025976,0.025974025974025976,0.025974025974025976,27.607493488417585,0.46980740376479824,3.1033841162915987,0.2597402597402597,0.2597402597402597,0.2597402597402597,0.2597402597402597,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,22.0,3.0,1.0,4.0,no
5752.0,5752.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,44.28923765099541,0.12016902713581115,40.95742838190966,0.025974025974025976,0.025974025974025976,0.025974025974025976,0.025974025974025976,75.48122518738815,0.4277872204104169,17.10227421384934,0.5194805194805194,0.5194805194805194,0.5194805194805194,0.5194805194805194,3.0,1.0,3.0,2.0,2.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,22.0,3.0,1.0,4.0,no
6626.0,6626.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.96629007963206,0.42354136192138936,13.310040150784731,0.38961038961038963,0.38961038961038963,0.38961038961038963,0.38961038961038963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,22.0,3.0,1.0,4.0,no
